Tweets,len,ID,Date,Source,Likes,RTs,SA
"In one of the biggest stories in a long time, the FBI now says it is missing five months worth of lovers Strzok-Pag… https://t.co/Zwg2yDeEwz",140,955771016319590400,2018-01-23 11:55:42,Twitter for iPhone,134734,36710,1
Even Crazy Jim Acosta of Fake News CNN agrees: “Trump World and WH sources dancing in end zone: Trump wins again...… https://t.co/X4ncbncUqi,140,955764970590961665,2018-01-23 11:31:40,Twitter for iPhone,129442,27242,-1
"Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone, including Republicans, De… https://t.co/jzJKY5vaAz",140,955658992793149440,2018-01-23 04:30:33,Twitter for iPhone,133689,28032,1
End the Democrats Obstruction! https://t.co/tzBXilvW1b,54,955458357200130049,2018-01-22 15:13:18,Twitter for iPhone,93244,21624,0
Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!,124,955428815777533952,2018-01-22 13:15:55,Twitter for iPhone,109777,22194,-1
The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!,127,955426609326100480,2018-01-22 13:07:09,Twitter for iPhone,132289,33295,-1
Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an “A”-and likewise to Doug Schoe… https://t.co/RnE8Gh9xnh,140,955249077645643776,2018-01-22 01:21:42,Twitter for iPhone,126914,23581,0
Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illega… https://t.co/px3zwtzYOV,140,955056249925750784,2018-01-21 12:35:28,Twitter for iPhone,178570,47479,1
RT @realDonaldTrump: Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that hap…,140,955052436187701248,2018-01-21 12:20:19,Twitter for iPhone,0,44585,-1
"RT @FoxNews: .@EricTrump: ""My father was elected for one reason, and that's because he actually believes in putting America first, which is…",140,954905101717655552,2018-01-21 02:34:52,Twitter for iPhone,0,14293,1
"RT @FoxNews: .@KellyannePolls: ""Since @POTUS took office, 863,000 new jobs were filled by women. Over half a million American women have en…",140,954904669112995840,2018-01-21 02:33:09,Twitter for iPhone,0,14459,1
"RT @FoxNews: .@davidwebbshow: ""Let's look at the calendar. It's January 20th. DACA expires on March 5th. That means this was a construct of…",140,954904246494916609,2018-01-21 02:31:28,Twitter for iPhone,0,13052,0
"RT @FoxNews: .@EricTrump: ""People have seen a year that's incredible, that's been filled with nothing but the best for our country, America…",140,954904160016785413,2018-01-21 02:31:07,Twitter for iPhone,0,7337,1
Eric Trump on @JudgeJeanine on @FoxNews now!,44,954901073587834882,2018-01-21 02:18:51,Twitter for iPhone,46690,6341,0
"The Trump Administration has terminated more UNNECESSARY Regulation, in just twelve months, than any other Administ… https://t.co/SFS1cXtdx5",140,954878124214415360,2018-01-21 00:47:40,Twitter for iPhone,154619,31696,-1
RT @realDonaldTrump: Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger…,140,954876269300248576,2018-01-21 00:40:18,Twitter for iPhone,0,42301,1
"Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military… https://t.co/S9Vev9LI6r",140,954843844402647040,2018-01-20 22:31:27,Twitter for iPhone,130655,28835,1
"Beautiful weather all over our great country, a perfect day for all Women to March. Get out there now to celebrate… https://t.co/0mof82VUry",139,954788467069870081,2018-01-20 18:51:24,Twitter for iPhone,209087,53305,1
Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!,122,954722155463430145,2018-01-20 14:27:54,Twitter for iPhone,168511,44585,-1
#AMERICA FIRST!,15,954681839419101185,2018-01-20 11:47:42,Twitter for iPhone,123404,31608,1
"For those asking, the Republicans only have 51 votes in the Senate, and they need 60. That is why we need to win mo… https://t.co/VAQ4O1yYv5",140,954680914998648833,2018-01-20 11:44:01,Twitter for iPhone,154746,39969,1
This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown,119,954678287820902401,2018-01-20 11:33:35,Twitter for iPhone,123818,30384,1
Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dan… https://t.co/eHAkBL3AjB,140,954674157144477696,2018-01-20 11:17:10,Twitter for iPhone,144783,42301,1
Not looking good for our great Military or Safety &amp; Security on the very dangerous Southern Border. Dems want a Shu… https://t.co/Zs62ydrvwQ,144,954541219970977793,2018-01-20 02:28:56,Twitter for iPhone,117360,31194,1
Excellent preliminary meeting in Oval with @SenSchumer - working on solutions for Security and our great Military t… https://t.co/EC7lpgkNxk,140,954478044487520257,2018-01-19 22:17:53,Twitter for iPhone,64898,13017,1
Just signed 702 Bill to reauthorize foreign intelligence collection. This is NOT the same FISA law that was so wron… https://t.co/20fZau7RFT,140,954456754137501697,2018-01-19 20:53:17,Twitter for iPhone,128901,27821,-1
"Today, I was honored and proud to address the 45th Annual @March_for_Life! You are living witnesses of this year’s… https://t.co/eZL7D5NtYg",139,954423170299199488,2018-01-19 18:39:50,Twitter for iPhone,96682,24874,1
"“Shutting down the government is a very serious thing. People die, accidents happen. I don’t know how I would vote… https://t.co/UdjOG3Ynvl",139,954390114968498176,2018-01-19 16:28:29,Twitter for iPhone,49650,15501,-1
".@WhiteHouse Briefing with Director Marc Short and Director Mick Mulvaney...
https://t.co/0O0VsYXmHB",100,954386490842378241,2018-01-19 16:14:05,Twitter for iPhone,44070,8492,0
Government Funding Bill past last night in the House of Representatives. Now Democrats are needed if it is to pass… https://t.co/xK33TIW16o,139,954323750949982208,2018-01-19 12:04:47,Twitter for iPhone,110736,25884,-1
House of Representatives needs to pass Government Funding Bill tonight. So important for our country - our Military needs it!,125,954136290768846850,2018-01-18 23:39:53,Twitter for iPhone,101878,20254,1
"AMERICA will once again be a NATION that thinks big, dreams bigger, and always reaches for the stars. YOU are the o… https://t.co/VYcBBrQ3pG",140,954097213608570880,2018-01-18 21:04:36,Twitter for iPhone,103400,26042,0
"Departing Pittsburgh now, where it was my great honor to stand with our incredible workers, and to show the world t… https://t.co/hig8AOxDFs",140,954092417250222082,2018-01-18 20:45:33,Twitter for iPhone,75918,15202,1
A government shutdown will be devastating to our military...something the Dems care very little about!,102,953987636057821184,2018-01-18 13:49:11,Twitter for iPhone,90745,21765,-1
"CHIP should be part of a long term solution, not a 30 Day, or short term, extension!",84,953984671674662912,2018-01-18 13:37:24,Twitter for iPhone,62644,12006,-1
We need the Wall for the safety and security of our country. We need the Wall to help stop the massive inflow of dr… https://t.co/wlyEE41v2w,140,953979393180950528,2018-01-18 13:16:26,Twitter for iPhone,123809,29062,0
"Will be going to Pennsylvania today in order to give my total support to RICK SACCONE, running for Congress in a Sp… https://t.co/zPK4tKI6Vp",140,953973568035086336,2018-01-18 12:53:17,Twitter for iPhone,85460,17141,0
"....The Wall will be paid for, directly or indirectly, or through longer term reimbursement, by Mexico, which has a… https://t.co/J09b17pLIi",140,953951365532876800,2018-01-18 11:25:03,Twitter for iPhone,112150,28040,1
"The Wall is the Wall, it has never changed or evolved from the first day I conceived of it. Parts will be, of neces… https://t.co/3UJscR3WGL",140,953948941674078208,2018-01-18 11:15:25,Twitter for iPhone,94472,21508,1
"ISIS is in retreat, our economy is booming, investments and jobs are pouring back into the country, and so much mor… https://t.co/pXV43doqxa",140,953796944564031489,2018-01-18 01:11:26,Twitter for iPhone,178875,39820,1
"Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD N… https://t.co/XtmYEpRDAu",140,953795518592843777,2018-01-18 01:05:46,Twitter for iPhone,112173,22335,1
"And the FAKE NEWS winners are...
https://t.co/59G6x2f7fD",56,953794085751574534,2018-01-18 01:00:05,Twitter for iPhone,112223,41272,-1
Main Street is BACK! Strongest Holiday Sales bump since the Great Recession -- beating forecasts by BILLIONS OF DOL… https://t.co/NzP72Zarmr,140,953773110553186312,2018-01-17 23:36:44,Twitter for iPhone,68111,15544,1
"During the campaign, I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country. I… https://t.co/OQ1fA6odh7",139,953772162665590787,2018-01-17 23:32:58,Twitter for iPhone,99101,24583,1
I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United S… https://t.co/aWutB2fro3,140,953771038114045954,2018-01-17 23:28:30,Twitter for iPhone,92293,24336,0
"Today, we witnessed an incredible moment in history – the presentation of Congress’ highest civilian honor to our f… https://t.co/svBhsLy1By",140,953768657221451776,2018-01-17 23:19:02,Media Studio,75120,15472,1
Eric Trump on @foxandfriends  now!,34,953614071336701952,2018-01-17 13:04:46,Twitter for iPhone,54454,6711,0
"....we need to keep America safe, including moving away from a random chain migration and lottery system, to one th… https://t.co/wMQB8vJ3Cs",140,953406553083777029,2018-01-16 23:20:10,Twitter for iPhone,81725,18985,0
New report from DOJ &amp; DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-b… https://t.co/9F2yHphpOi,144,953406423177859073,2018-01-16 23:19:39,Twitter for iPhone,100031,25731,1
"Today, it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the @WhiteHouse! https://t.co/TerYFZViax",122,953360619834691585,2018-01-16 20:17:39,Twitter for iPhone,56036,9912,1
"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day” https://t.co/bD3R2dJfyp",104,953352036309000194,2018-01-16 19:43:32,Twitter for iPhone,73867,19502,0
Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl… https://t.co/T5tmchLiz8,140,953273134655987716,2018-01-16 14:30:00,Twitter for iPhone,113215,28024,-1
“90% of Trump 2017 news coverage was negative” -and much of it contrived!@foxandfriends,87,953271789790138368,2018-01-16 14:24:40,Twitter for iPhone,73202,16182,-1
